University,State,pretty name,State Abb,location name,food name,City,Type,Grad Program?,Pop (2020 Decennial Census),undergrad pop,city long,city lat,zip,uni. LONGITUDE,uni. LATITUDE,Monthly food,Appartment Mean,Appartment Min,Appartment Max,Gas,Avg spent on gas = avg miles driven / gas milage * gas cost,Avg gas/ month?,Total Cost,Monthly Cost of living + Yearly Maintencance cost,Min Cost,Max Cost
SUNY College of Technology at Alfred,New York,"Alfred, New York",NY,Alfred New York,Alfred-NY,Alfred,Mix,yes,4896,3400,42.2552,77.7947,14802,-77.795,42.2553,314.6,1068.38,700,1414,3.39,1707.1,142.2583333,1525.238333,2317.238333,1948.858333,2662.858333
Sul Ross State University,Texas,"Alpine, Texas",TX,Alpine Texas,Alpine-TX,Alpine,Regional,yes,6035,1603,-103.665,30.364,79832,-103.65,30.3631,316.16,675,675,675,3.15,1586.24,132.1866667,1123.346667,1915.346667,1915.346667,1915.346667
Iowa State University,Iowa,"Ames, Iowa",IA,Ames Iowa,Ames-IA,Ames,Land grant,yes,66427,25537,-93.6217,42.0256,50011-2103,-93.649,42.0262,316.16,863.67,620,1225,3.24,1631.56,135.9633333,1315.793333,2107.793333,1864.123333,2469.123333
University of Massachusetts-Amherst,Massachusetts,"Amherst, Massachusetts",MA,Amherst Massachusetts,Amherst-MA,Amherst,Mix,yes,39263,23947,42.3868,72.5301,1003,-72.527,42.386,317.6333333,1886.94,1375,2394.5,3.19,1606.38,133.865,2338.438333,3130.438333,2618.498333,3637.998333
University of Michigan-Ann Arbor,Michigan,"Ann Arbor, Michigan",MI,Ann Arbor Michigan,Ann-Arbor-MI,Ann Arbor,Flagship,yes,123851,32063,-83.731,42.2759,48109,-83.743,42.2759,315.0333333,1876.49,1231.5,3567.5,3.45,1737.31,144.7758333,2336.299167,3128.299167,2483.309167,4819.309167
California State Polytechnic University-Humboldt,California,"Arcata, California",CA,Arcata California,Arcata-CA,Arcata,Regional,yes,18857,5336,-124.076,40.8615,95521-8299,-124.08,40.8775,323.1366667,1213.12,885,1550,5.39,2714.23,226.1858333,1762.4425,2554.4425,2226.3225,2891.3225
Henderson State University,Arkansas,"Arkadelphia, Arkansas",AR,Arkadelphia Arkansas,Arkadelphia-AR,Arkadelphia,Mix,yes,10380,2205,-93.0729,34.1253,71999-0001,-93.06,34.1282,318.1533333,715,715,715,2.95,1485.53,123.7941667,1156.9475,1948.9475,1948.9475,1948.9475
Southern Oregon University,Oregon,"Ashland, Oregon",OR,Ashland Oregon,Ashland-OR,Ashland,Regional,yes,21360,3208,-122.699,42.1905,97520,-122.7,42.1851,321.5116667,1575,1050,2100,3.89,1958.88,163.24,2059.751667,2851.751667,2326.751667,3376.751667
University of Georgia,Georgia,"Athens, Georgia",GA,Athens Georgia,Athens-GA,Athens,Flagship,yes,96124,30032,-83.3689,33.9508,30602,-83.374,33.9563,315.9,1450.77,775,2609,3.14,1581.21,131.7675,1898.4375,2690.4375,2014.6675,3848.6675
Ohio University,Ohio,"Athens, Ohio",OH,Athens Ohio,Athens-OH,Athens,Flagship,yes,23849,17899,-82.0987,39.327,45701-2979,-82.101,39.3268,312.0866667,814.38,444,1450,3.35,1686.95,140.5791667,1267.045833,2059.045833,1688.665833,2694.665833
Auburn University,Alabama,"Auburn, Alabama",AL,Auburn Alabama,Auburn-AL,Auburn,Land grant,yes,76143,24782,-85.4903,32.6087,36849,-85.488,32.5994,348.9416667,1266.17,760,3450,2.97,1495.6,124.6333333,1739.745,2531.745,2025.575,4715.575
University of Maine at Augusta,Maine,"Augusta, Maine",ME,Augusta Maine,Augusta-ME,Augusta,Regional,yes,18899,3020,-69.7319,44.3341,04330-9410,-69.796,44.3377,315.9,1058.75,750,1250,3.15,1586.24,132.1866667,1506.836667,2298.836667,1990.086667,2490.086667
Bemidji State University,Minnesota,"Bemidji, Minnesota",MN,Bemidji Minnesota,Bemidji-MN,Bemidji,Regional,yes,14574,3508,-94.8797,47.4828,56601,-94.874,47.4823,321.5333333,913.12,870,945,3.29,1656.74,138.0616667,1372.715,2164.715,2121.595,2196.595
Ferris State University,Michigan,"Big Rapids, Michigan",MI,Big Rapids Michigan,Big-Rapids-MI,Big Rapids,Regional,yes,7727,8810,-85.4806,43.6992,49307-2251,-85.482,43.6877,317.8933333,1299,1299,1299,3.49,1757.45,146.4541667,1763.3475,2555.3475,2555.3475,2555.3475
Binghamton University,New York,"Binghamton, New York",NY,Binghamton New York,Binghamton-NY,Binghamton,Flagship,yes,47969,14303,-75.9093,42.1014,13850-6000,-75.967,42.0879,314.6,1277.69,785,2200,3.09,1556.03,129.6691667,1721.959167,2513.959167,2021.269167,3436.269167
