University,State,pretty_name,State_Abb,location_name,food_name,City,Type,Has_Grad_Program,city_pop,undergrad_pop,city_long,city_lat,zip,uni_long,uni_lat,Monthly_food,appartment_mean_cost,Appartment_Min,Appartment_Max,Gas,gas_per_month,Car_Maintenance,Total_Cost,Min_Cost,Max_Cost
Appalachian State University,North Carolina,"Boone, North Carolina",NC,Boone North Carolina,Boone-NC,Boone,Regional,yes,19092,18486,-81.6669,36.2111,28608,-81.681,36.2155,318.93,1593.5,1349,1749,3.29,137.5993308,66,2116.029331,1871.529331,
Arkansas Tech University,Arkansas,"Russellville, Arkansas",AR,Russellville Arkansas,Russellville-AR,Russellville,Regional,yes,28940,6467,-93.1383,35.2762,72801-2222,-93.136,35.2932,318.15,808,590,1337.5,2.99,125.0522794,66,1317.202279,1099.202279,
Auburn University,Alabama,"Auburn, Alabama",AL,Auburn Alabama,Auburn-AL,Auburn,Land grant,yes,76143,24782,-85.4903,32.6087,36849,-85.488,32.5994,348.94,1266.17,760,3450,2.97,124.2158093,66,1805.325809,1299.155809,
Ball State University,Indiana,"Muncie, Indiana",IN,Muncie Indiana,Muncie-IN,Muncie,Regional,yes,65194,13896,-85.395,40.1989,47306,-85.409,40.2034,316.33,926.56,612.5,1575,3.39,141.7816813,66,1450.671681,1136.611681,
Bemidji State University,Minnesota,"Bemidji, Minnesota",MN,Bemidji Minnesota,Bemidji-MN,Bemidji,Regional,yes,14574,3508,-94.8797,47.4828,56601,-94.874,47.4823,321.53,913.12,870,945,3.29,137.5993308,66,1438.249331,1395.129331,
Binghamton University,New York,"Binghamton, New York",NY,Binghamton New York,Binghamton-NY,Binghamton,Flagship,yes,47969,14303,-75.9093,42.1014,13850-6000,-75.967,42.0879,314.6,1277.69,785,2200,3.09,129.2346299,66,1787.52463,1294.83463,
Bloomsburg University of Pennsylvania,Pennsylvania,"Bloomsburg, Pennsylvania",PA,Bloomsburg Pennsylvania,Bloomsburg-PA,Bloomsburg,Regional,yes,12711,6719,-76.4561,41.0027,17815,-76.448,41.0078,318.07,1325,900,1750,3.3,138.0175659,66,1847.087566,1422.087566,
Bowling Green State University,Ohio,"Bowling Green, Ohio",OH,Bowling Green Ohio,Bowling-Green-OH,Bowling Green,Regional,yes,30808,2511,-83.6495,41.3776,43403,-83.641,41.3755,314.69,1007.15,628.5,1646,3.24,135.5081556,66,1523.348156,1144.698156,
Bridgewater State University,Massachusetts,"Bridgewater, Massachusetts",MA,Bridgewater Massachusetts,Bridgewater-MA,Bridgewater,Regional,yes,28633,8142,41.9888,70.9663,2325,-70.975,41.9875,312,2537.76,1225,4004.5,3.19,133.4169803,66,3049.17698,1736.41698,
California Polytechnic State University-San Luis Obispo,California,"San Luis Obispo, California",CA,San Luis Obispo California,San-Luis-Obispo-CA,San Luis Obispo,Regional,yes,47063,21090,-120.669,35.2669,93407,-120.66,35.2995,319.45,2280.83,1195,2950,5.19,217.06399,66,2883.34399,1797.51399,
California State Polytechnic University-Humboldt,California,"Arcata, California",CA,Arcata California,Arcata-CA,Arcata,Regional,yes,18857,5336,-124.076,40.8615,95521-8299,-124.08,40.8775,323.14,1213.12,885,1550,5.39,225.4286909,66,1827.688691,1499.568691,
California State University-Chico,California,"Chico, California",CA,Chico California,Chico-CA,Chico,Regional,yes,101475,14343,-121.816,39.7578,95929-0150,-121.84,39.7297,323.14,1251.4,588,1866,4.79,200.334588,66,1840.874588,1177.474588,
